,Name,Price,Rating,Number Of Rating,Number Of Reviews,Link
18,"Infinix Hot S3X (Tradew Gray, 32 GB)  (3 GB RAM)","10,999",4.2,"17,204 Ratings "," 2,590 Reviews",https://www.flipkart.com/infinix-hot-s3x-tradew-gray-32-gb/p/itmfaqv6agscjwyx?pid=MOBF9V6QY25HUTHX&lid=LSTMOBF9V6QY25HUTHXRDMWBM&marketplace=FLIPKART&srno=b_1_19&otracker=browse&fm=organic&iid=d4959cb4-9b43-4ca5-a01a-f15fe4a6f967.MOBF9V6QY25HUTHX.SEARCH&ssid=kwtj2t1slc0000001599323466717
,,,,,,
19,"Infinix Hot S3X (Milan Black, 32 GB)  (3 GB RAM)","10,999",4.2,"17,204 Ratings "," 2,590 Reviews",https://www.flipkart.com/infinix-hot-s3x-milan-black-32-gb/p/itmfaqv6agscjwyx?pid=MOBF9V6QYJDGYW3W&lid=LSTMOBF9V6QYJDGYW3WUF6NPL&marketplace=FLIPKART&srno=b_1_20&otracker=browse&fm=organic&iid=d4959cb4-9b43-4ca5-a01a-f15fe4a6f967.MOBF9V6QYJDGYW3W.SEARCH&ssid=kwtj2t1slc0000001599323466717
,,,,,,
20,"Infinix Smart 2 (Bordeaux Red, 32 GB)  (3 GB RAM)","7,999",4,"35,635 Ratings "," 4,021 Reviews",https://www.flipkart.com/infinix-smart-2-bordeaux-red-32-gb/p/itmf7wy6w29wymyp?pid=MOBF7F4YPXCRJ8UJ&lid=LSTMOBF7F4YPXCRJ8UJCCVYAG&marketplace=FLIPKART&srno=b_1_21&otracker=browse&fm=organic&iid=d4959cb4-9b43-4ca5-a01a-f15fe4a6f967.MOBF7F4YPXCRJ8UJ.SEARCH&ssid=kwtj2t1slc0000001599323466717
,,,,,,
21,"Infinix Hot 7 (Midnight Black, 64 GB)  (4 GB RAM)","9,999",4.2,"26,135 Ratings "," 3,482 Reviews",https://www.flipkart.com/infinix-hot-7-midnight-black-64-gb/p/itmfhvqduy3nrcuu?pid=MOBFHVQDJABWUVCV&lid=LSTMOBFHVQDJABWUVCVLRYA3F&marketplace=FLIPKART&srno=b_1_22&otracker=browse&fm=organic&iid=d4959cb4-9b43-4ca5-a01a-f15fe4a6f967.MOBFHVQDJABWUVCV.SEARCH&ssid=kwtj2t1slc0000001599323466717
,,,,,,
22,"Infinix Smart 2 (Sandstone Black, 32 GB)  (3 GB RAM)","7,499",4,"35,635 Ratings "," 4,021 Reviews",https://www.flipkart.com/infinix-smart-2-sandstone-black-32-gb/p/itmf7wy6w29wymyp?pid=MOBF7F4YZEJZGYTB&lid=LSTMOBF7F4YZEJZGYTBQYYUWE&marketplace=FLIPKART&srno=b_1_23&otracker=browse&fm=organic&iid=d4959cb4-9b43-4ca5-a01a-f15fe4a6f967.MOBF7F4YZEJZGYTB.SEARCH&ssid=kwtj2t1slc0000001599323466717
,,,,,,
23,"Infinix Smart 2 (Serene Gold, 32 GB)  (3 GB RAM)","7,499",4,"35,635 Ratings "," 4,021 Reviews",https://www.flipkart.com/infinix-smart-2-serene-gold-32-gb/p/itmf7wy6w29wymyp?pid=MOBF7F4YZVCTAWYU&lid=LSTMOBF7F4YZVCTAWYUKWVFH4&marketplace=FLIPKART&srno=b_1_24&otracker=browse&fm=organic&iid=d4959cb4-9b43-4ca5-a01a-f15fe4a6f967.MOBF7F4YZVCTAWYU.SEARCH&ssid=kwtj2t1slc0000001599323466717
,,,,,,
24,"Infinix Smart 3 Plus (Sapphire Cyan, 32 GB)  (2 GB RAM)","7,499",4.2,"78,039 Ratings "," 10,486 Reviews",https://www.flipkart.com/infinix-smart-3-plus-sapphire-cyan-32-gb/p/itmffnu4txbsjzem?pid=MOBFFNU4JG5YHMFG&lid=LSTMOBFFNU4JG5YHMFGFH6JJZ&marketplace=FLIPKART&srno=b_2_25&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBFFNU4JG5YHMFG.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
25,"Infinix S4 (Space Gray, 32 GB)  (3 GB RAM)","9,599",4.2,"27,885 Ratings "," 3,929 Reviews",https://www.flipkart.com/infinix-s4-space-gray-32-gb/p/itmfgju8hzamxzxx?pid=MOBFGJU8V3JMCZ5Z&lid=LSTMOBFGJU8V3JMCZ5ZWBXFD1&marketplace=FLIPKART&srno=b_2_26&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBFGJU8V3JMCZ5Z.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
